Comment,Label,clean_comment
"C...O...N...T...A...C...T... 
M...E.....
O...N.... 
....W....H..A.. T.S.A...P ...P..
+=1=8=3=2=9=3=4=4=2=8=6=..🇺🇲✍️",1,CONTACT ME ON WHA T SAP P 18329344286
"For advanced details
W/H/A/T/S/A/P
:+,1...3,,,,2...3..5,,2....2...2..4..8,,,,9",1,For advanced details WHAT SAP 13235222489
"+=1=3=3=2=2=4=4=0=4=4=1
M•E•S•S•A•G•E•M•E•O•N •W•H•A•T•S•A•P•P......",1,13322440441 MESSAGE ME ON WHAT S APP
"Thanks  for watching, For proper analysis and info   W.h..a…..t….a…..p….p

+ ‪1   4  7  0  2  4  1  6  9 4  4‬
:((:):):):);):;):):);",1,Thanks for watching For proper analysis and info What app 1 4 7 0 2 4 1 6 9 4 4
"Thanks for watching my video 
for more guidance 
+ ‪1  4 7 0 2  4  1  6  9 4  4‬
w*h*a*. ts*p*p*==+++===;(",1,Thanks for watching my video for more guidance 1 4 7 0 2 4 1 6 9 4 4 wha t spp
L•E•A•V•E ~A ~M•E•S•S•A•G•E ~O•N ~W•H•A•T•S•A•P•P ~F•O•R ~M•O•R•E  +>1<>7<>0<>2<>9<>0<>0<>1<>4<>3< >0<>.,1,LEAVE A MESSAGE ON WHAT S APP FOR MORE 1702900143 0
"W•h•a•t•s•A•p•p• m•e
+•1• 3• 2• 3 • 9• 9• 1• 2• 5• 4• 2
F•o•r ***h•u•g•e ***p•r•o•f•i•t•",1,What s App me 1 3 2 3 9 9 1 2 5 4 2 For huge profit
"F/O/R /G/U/I/D/A/N/C/E
W*H*A*T*S*A*P*P*M*E
+/1/4/7/0/7/4/5/6/9/8/0.",1,FOR GUIDANCE WHAT S APP ME 14707456980
"F/O/R /G/U/I/D/A/N/C/E
W*H*A*T*S*A*P*P*M*E
+/1/4/7/0/7/4/5/6/9/8/0",1,FOR GUIDANCE WHAT S APP ME 14707456980
"•*«T»h»a»n»k»s» 
«f»o»r »y»o»u»r» 
«c»o»m»m»e»n»t« 
«F»o»r »t»u»t»o»r»i»a»l»s»
«o»n »I»n»v»e»s»t»m»e»n»t»
+«1»«8»5»8»«4»0»1»«6»5»4»7‬»/@Wa:.",1,Thanks for your comment For tutorials on Investment 18584016547 Wa
"S•e•d••t•e•x•t•••f•o•r•••• t•r•a•d•e•••t•i•p•s••a•n•d•••p•e•r•s•o•n•a•l••t•u•t•o•r•i•a•n•l••
W•h•at•s•A•p•p••••M•e•• 
+1 =3=1=5=9=1=6=6=2=8=7‬•",1,Sed text for trade tips and personal tutor ian l What s App Me 13159166287
"W•H•A•T•S•A•P•P+
+•1•3•1•0•6•9•5•6•2•3•6
I•n•v•e•s•t•<>in<>C•r•y•p•t•o
B•T•C<>A•N•D<>E•H•E•!!..",1,WHAT S APP 13106956236 Invest in Crypto BT CAN DE HE
"C....O...N....T....A....C....T 
M...E... 
O...N... 
W....H..A....T.S.A...P...P...
‪+1 =3=1=5=9=1=6=6=2=8=7‬•",1,CONTACT ME ON WHAT S APP 13159166287
"W,„H,„A,„T,„S,„A,„P,„P,„
+,,,1,,,7,,,6,,,0,,,4,,,7,,,4,,,5,,,7,,,4,,,7",1,WHAT S APP 17604745747
"•*«T»h»a»n»k»s» 
«f»o»r »y»o»u»r» 
«c»o»m»m»e»n»t« 
«F»o»r »t»u»t»o»r»i»a»l»s»
«o»n »I»n»v»e»s»t»m»e»n»t»
+«1»«8»5»8»«4»0»1»«6»5»4»7‬»/@Wa",1,Thanks for your comment For tutorials on Investment 18584016547 Wa
"*+<>1<>8<>4<>7<>7<>5<>6<>8<>7<>8<>3.>* 

 *W<>* H<> A<> T<> S<> A<> P<> p••",1,18477568783 W H A T S A P p
"•*«T»h»a»n»k»s» 
«f»o»r »y»o»u»r» 
«c»o»m»m»e»n»t« 
«F»o»r »t»u»t»o»r»i»a»l»s»
«o»n »I»n»v»e»s»t»m»e»n»t»
+«1»«8»5»8»«4»0»1»«6»5»4»7‬»/@Wa:",1,Thanks for your comment For tutorials on Investment 18584016547 Wa
"F•O•R  M•O•R•E  G•U•I•D•A•N•C•E  O•N  P•R•O•F•I•T  M•A•K•I•N•G  A•N•D  T•O  I•N•V•E•S•T  R•E•A•C•H  M•E @W•H•A•T•S•A•P•P💬
<<+1••2 •1• 4 •8• 5• 6•2• 3• 9• 9.",1,FOR MORE GUIDANCE ON PROFIT MAKING AND TO INVEST REACH ME WHAT S APP 12 1 4 8 5 62 3 9 9
"•*«T»h»a»n»k»s» 
«f»o»r »y»o»u»r» 
«c»o»m»m»e»n»t« 
«F»o»r »t»u»t»o»r»i»a»l»s»
«o»n »I»n»v»e»s»t»m»e»n»t»
+«1»«8»5»8»«4»0»1»«6»5»4»7‬»/@Wa:..",1,Thanks for your comment For tutorials on Investment 18584016547 Wa
"C....O....N.... T....A....C....T
M... E.....
O...N...
....W....H....A.... T....S....A....P....P
+1=2=1=3=4=0=1=4=5=3=8>>@@@@",1,CON TACT M EON WHA TS APP 12134014538
"*+<>1<>8<>4<>7<>7<>5<>6<>8<>7<>8<>3.>* 

 *W<>* H<> A<> T<> S<> A<> P<> p•.",1,18477568783 W H A T S A P p
"R’e^s’p”..o.n...e
.+1..”3”..1”..0”..6”..9”..5..”6”..2”..3..”6
W..•..H•..A..•..T•..S•..A..•P•",1,Resp one 13106956236 WHAT SAP
"The comfortable ghost disturbingly drip because carbon contextually blot around a parallel lock. glib, grateful gratis power",0,The comfortable ghost disturbingly drip because carbon con textually blot around a parallel lock glib grateful gratis power
"How many have looked up ""Dataroma"" ? ... :)",0,How many have looked up Data roma
Yeah,0,Yeah
Just made my saturday,0,Just made my saturday
I demand a crackdown on Pokahonkass,0,I demand a crackdown on Pok a honk as s
We need younger politicians,0,We need younger politicians
Good point,0,Good point
"Isn’t that information become worthless because that info is outdated? If the CEO already bought, you are buying at the high, when CEO sold, it’s already dipped. Stop misleading your subscribers.",0,Isnt that information become worthless because that info is outdated If the CEO already bought you are buying at the high when CEO sold its already dipped Stop misleading your subscribers
@The Iced Coffee Hour Jack is ready to move in. ha ha 😁😎,0,The Iced Coffee Hour Jack is ready to move in ha ha
not sure!,0,not sure
@Michael Kovacs A lot of assets (though not all) - have a function of some sort; There is a market that will utilise the asset that underpins the speculative trade in said asset.,0,Michael Kovacs A lot of assets though not all have a function of some sort There is a market that will utilise the asset that underpins the speculative trade in said asset
I love biden.....,0,I love biden
She just wants the proce driven down so she can buy in.,0,She just wants the pro ce driven down so she can buy in
"Hey everyone, don’t think about a purple elephant with green polka dots.",0,Hey everyone dont think about a purple elephant with green polka dots
It’s not a “options glitch” it’s called implied volatility,0,Its not a options glitch its called implied volatility
Tech Leads Million Token 15m Market cap is about to take off if you missed other boats,0,Tech Leads Million Token 15 m Market cap is about to take off if you missed other boats
dtyhgetihg,0,d ty h get i hg
That’s just how the schedules work,0,That s just how the schedules work
first I love you,0,first I love you
He said it sarcastically,0,He said it sarcastically
"It’s not about protecting investors, it’s about their fear of losing control of the monetary monopoly and control governments have!",0,Its not about protecting investors its about their fear of losing control of the monetary monopoly and control governments have
@Nikolaj Willadsen 100%,0,Nikola j Will ad sen 100
yeah you will educate politicians with bribes,0,yeah you will educate politicians with bribes
"@Andrew Oborny Those are great points!! I'm surprised NFM is always running out, I guess it's bc their efficiently priced items are hard to beat huh? I would do the same of buying online and picking up things.",0,Andrew O born y Those are great points Im surprised N FM is always running out I guess its bc their efficiently priced items are hard to beat huh I would do the same of buying online and picking up things
lets see!,0,lets see
Hodl and get the revuminers and you will thank yourself,0,Hod l and get the rev u miners and you will thank yourself
@Graham Stephan Thank goodness! 😎😎,0,Graham Stephan Thank goodness
Lmao shark tank pitch,0,L mao shark tank pitch
Thanks!,0,Thanks
Thank you for always being brutal honest!,0,Thank you for always being brutal honest
Problem is you have to pay them back in the currency you borrowed in.,0,Problem is you have to pay them back in the currency you borrowed in
You had me at moon bar jacuzzi,0,You had me at moon bar jac uz zi
Your almost at 1 millie,0,Your almost at 1 millie
Its always interesting to see how inflation works in many odd ways. Found this channel a week ago or so and every video has been informative and phenominal. Keep up the great work Nate!,0,Its always interesting to see how inflation works in many odd ways Found this channel a week ago or so and every video has been informative and phe nominal Keep up the great work Nate
See you at the moon jacuzzi bar 👋,0,See you at the moon jac uz zi bar
That a good idea,0,That a good idea
Hodl and get revuminer and you will thank yourself,0,Hod l and get rev u miner and you will thank yourself
In Teachlead we trust!!,0,In Teach lead we trust
"I would have bought since day one  , Gas fees and exchanger fees are too much for me as a beginner. Any help please.",0,I would have bought since day one Gas fees and exchanger fees are too much for me as a beginner Any help please
Yo momma,0,Yo momma
third,0,third
Anyone else surprised it’s more commiefornia politicians trying to screw the American people?,0,Anyone else surprised its more com mie for nia politicians trying to screw the American people
I like your shirt. Your smart and handsome. If I was 50 years younger I would work with what you say.👍,0,I like your shirt Your smart and handsome If I was 50 years younger I would work with what you say
Love your shirt!  Kimchi power!,0,Love your shirt Kimchi power
"Don't care , don't have crypto and my family doesn't buy or need it",0,Dont care dont have crypto and my family doesnt buy or need it
Next episode : Biah-ind Bars,0,Next episode Bia hind Bars
"Instead of buying an overpriced house, how about buying land (or renting a spot in someone’s backyard) and putting an accessory dwelling unit on it (similar to what Elon Musk is doing!) and living in that for a very cheap monthly payment!",0,Instead of buying an overpriced house how about buying land or renting a spot in someones backyard and putting an accessory dwelling unit on it similar to what El on Musk is doing and living in that for a very cheap monthly payment
"Graham is saying that home sales are slowing because there is not enough inventory and home prices are rising fast but the slowdown in sales will soon “bottom” because more inventory is coming to the market, etc.   it’s clickbait implying that home prices are going to bottom!!  🙏.  I was also misled by the clickbait!!  Lol 😂",0,Graham is saying that home sales are slowing because there is not enough inventory and home prices are rising fast but the slowdown in sales will soon bottom because more inventory is coming to the market etc its click bait implying that home prices are going to bottom I was also misled by the click bait Lol
"Million Token, to the moon with the TechLead tycoon, buy some before they're all sold out!!  😊🎼🎸👍",0,Million Token to the moon with the Tech Lead tycoon buy some before they re all sold out
"The problem is:  "" how much is one bitcoin worth"" ... the answer is : X amount of dollars...so you see how the dollar is the standard by which ALL THINGS are measured (or compared to). - the end.",0,The problem is how much is one bitcoin worth the answer is X amount of dollars so you see how the dollar is the standard by which ALL THINGS are measured or compared to the end
"The only time I’ve ever heard anyone on YT accurately describe petro-dollars.  Although there are still a lot more nuances to it and historical perspective, e.g. energy crisis of the 1970’s and our attempt to further isolate the Soviet Union and make it harder for them to sell their oil.  I encourage people to read more about it because it’s quite an interesting topic.",0,The only time Ive ever heard anyone on Y T accurately describe petro dollars Although there are still a lot more nuances to it and historical perspective eg energy crisis of the 1970 s and our attempt to further isolate the Soviet Union and make it harder for them to sell their oil I encourage people to read more about it because its quite an interesting topic
About to sleep 😴 but now Gooood morning,0,About to sleep but now Goo ood morning
No way to make a Friday better than Nate uploading a new vid.,0,No way to make a Friday better than Nate uploading a new vid
Wow two in one night! You guys are on fire today!,0,Wow two in one night You guys are on fire today
"**""Trading seems a bit too clouded to me with all these figures going around plus my busy schedule, an hour in a day was just all I needed, now my equity earns for me even more than the time I dedicate it at work. Elizabeth cuts it for me.*",0,Trading seems a bit too clouded to me with all these figures going around plus my busy schedule an hour in a day was just all I needed now my equity earns for me even more than the time I dedicate it at work Elizabeth cuts it for me
Liked for the yugioh,0,Liked for the yugi oh
clearly a dj khaled fan,0,clearly a dj khaled fan
"im sure im not thinking about this the right way, so i am about equal parts curious and skeptical... but if THAT much of bitcoins volume (90-95% apparently on some days) was artifical on a regular basis, is it really done in such a meticulous manor  that theres no red flags popping up during professional on chain analyists and or no tangible evidence or record on the immutible public ledger containing every single movement btc ever made.  and if it is able to slip by , how on earth is that possible",0,im sure im not thinking about this the right way so i am about equal parts curious and skeptical but if THAT much of bitcoins volume 9095 apparently on some days was artifical on a regular basis is it really done in such a meticulous manor that there s no red flags popping up during professional on chain an aly is ts and or no tangible evidence or record on the im muti ble public ledger containing every single movement btc ever made and if it is able to slip by how on earth is that possible
"She is not trying to protect users interest , she is just sabotaging , trying to get her interest in it .",0,She is not trying to protect users interest she is just sabotaging trying to get her interest in it
"Techlead will never recieve a passionate act of affection in his life from someone who loves him for being him----his entire online presence is an excercise in trying to exorcise this horrifying reality from his psyche. Imaghine being and looking this loveless as human being, craving endless validation and witlessly bragging about money with the personality of a cardboard box. He makes Sisyphus look like was pushing a beach ball up ant-hill. What an existential slog!",0,Tech lead will never recieve a passionate act of affection in his life from someone who loves him for being him his entire online presence is an ex cerci se in trying to exorcise this horrifying reality from his psyche I magh in e being and looking this loveless as human being craving endless validation and witlessly bragging about money with the personality of a cardboard box He makes S is y ph us look like was pushing a beach ball up anthill What an existential slog
"wtf is with every little kid having this haircut now, Its so deuchy looking",0,wtf is with every little kid having this haircut now Its so de uch y looking
burn more of her yachts,0,burn more of her yachts
@DRUMofTRUTH its greed.,0,DRUM of TRUTH its greed
Biaheza!!!! You're a genius!!! Much love ❤❤ God bless you 🙏🏻🙏🏻,0,Bia he za You re a genius Much love God bless you
Paradise Express for sure he probably got filled terribly! Robinhood unfortunately cannot control which bid price you buy at,0,Paradise Express for sure he probably got filled terribly Robin hood unfortunately cannot control which bid price you buy at
"Yes, and you can be like me someday too☑️☑️👍🏻",0,Yes and you can be like me someday too
We need a 2021 update on your portfolio,0,We need a 2021 update on your portfolio
"Juicy, juicy episode. Thanks!",0,Juicy juicy episode Thanks
Politicians are not smart. They are parasites,0,Politicians are not smart They are parasites
Seems like the rest of TechLead video will be about pumping his own coin so I'm out.,0,Seems like the rest of Tech Lead video will be about pumping his own coin so Im out
Graham is the man! 😊😎,0,Graham is the man
You forgot to mention that you will also profit from inflation by making a video on it and getting lots of views!!  😂😂😂,0,You forgot to mention that you will also profit from inflation by making a video on it and getting lots of views
@Woahh 1 that's true,0,Wo ahh 1 that s true
first,0,first
"Addition to your article about Elizabeth Warren. She gets campaign donations from major Banks.
Her job is to bring negative story about Bitcoin. She can't stop Bitcoin, because it is a innovation to create better opportunities for everybody in the world.",0,Addition to your article about Elizabeth Warren She gets campaign donations from major Banks Her job is to bring negative story about Bitcoin She cant stop Bitcoin because it is a innovation to create better opportunities for everybody in the world
Understand this The same people we watch and try to outdo are the same people who created everything we are involved in. You're welcome,0,Understand this The same people we watch and try to outdo are the same people who created everything we are involved in You re welcome
"The most stable/secure things to invest in
Best ways to advertise
And stocks to receive money I assume you'd sell them when the price for them is high? 
Best sites to go threw for all of these things
Pls and thankyou",0,The most stable secure things to invest in Best ways to advertise And stocks to receive money I assume you d sell them when the price for them is high Best sites to go threw for all of these things Pl s and thankyou
Same here,0,Same here
100x noice!,0,100 x no ice
You're mostly bullshitting about MM but anyway it's still a success.,0,You re mostly bullshitting about MM but anyway its still a success
Awesome concept bri,0,Awesome concept bri
hey!,0,hey
"I just need a little land, a tiny home, and a dog. thanks for the informative videos - i hope you have a great weekend!",0,I just need a little land a tiny home and a dog thanks for the informative videos i hope you have a great weekend
still early!,0,still early
Beat you again,0,Beat you again
"@John John's Knee 

He warned them 🤣",0,John Johns Knee He warned them
"Graham, would you be able to talk about how there's a high contrast between a city like NYC and anywhere in Florida for example, when it comes to this information such as shared on this video.  I appreciate your channel man,  thank you",0,Graham would you be able to talk about how there s a high contrast between a city like NYC and anywhere in Florida for example when it comes to this information such as shared on this video I appreciate your channel man thank you
I hope Andrei will not be Epsteined. Great video!,0,I hope Andrei will not be Epstein ed Great video
I see why pot of greed is banned now.,0,I see why pot of greed is banned now
What's up Stefamily? The Stefamily rules!!!! 😎😎😎😎💕💕💕💕💕💕💕,0,What s up Ste family The Ste family rules
I went to school with that meme guy,0,I went to school with that meme guy
This does not look like it was filmed in the back of a truck,0,This does not look like it was filmed in the back of a truck
I'm really not :(,0,Im really not
Yepp,0,Yep p
:/ the titles may be repetitive but the content is all new. It’s business news reporting,0,the titles may be repetitive but the content is all new Its business news reporting
Get this old bag outta here,0,Get this old bag outta here
:P,0,P
If this guy worked out he would have the biggest shoulders of all time,0,If this guy worked out he would have the biggest shoulders of all time
"They never care to people like us it wasn’t and it never will 
They only care to them !",0,They never care to people like us it wasnt and it never will They only care to them
Graham is on top of the game. As Always :D,0,Graham is on top of the game As Always D
Hi asapBIA,0,Hi asap BIA
Why hasn’t nothing being done about her being a so-called Native American. She committed fraud every time she filled out an application and said she was Native American but nothing has been done,0,Why has nt nothing being done about her being a so called Native American She committed fraud every time she filled out an application and said she was Native American but nothing has been done
This man blocked the South Eastern Conference 😂😂😂😂😂,0,This man blocked the South Eastern Conference
"Further improve the nearly 10% profit in 2 weeks? Na, I'd just screw things up.",0,Further improve the nearly 10 profit in 2 weeks Na Id just screw things up
Millionaires are going to be made over night,0,Millionaires are going to be made over night
Me who just bought a house 👁️👄👁️,0,Me who just bought a house
Just watch the video! I address the title!,0,Just watch the video I address the title
I will become hokage,0,I will become hokage
the SEC said that if u don’t scroll back up to smash the like button under this video ur going to jail,0,the SEC said that if u dont scroll back up to smash the like button under this video ur going to jail
bro didnt even look at the bid-ask spread,0,bro didnt even look at the bid ask spread
Fun fact...the lottery is a negative expectation game. On average you're expected to lose money mathematically.,0,Fun fact the lottery is a negative expectation game On average you re expected to lose money mathematically
"@Nate O'Brien You could make a second channel and post some raw, not much edited footage of van life. It shouldn't take much effort and it would be really enjoyable for us! Just giving my opinion 👊🏼",0,Nate O Brien You could make a second channel and post some raw not much edited footage of van life It shouldnt take much effort and it would be really enjoyable for us Just giving my opinion
"True, but I just never think to pick up a camera. I enjoy living in the moment, sometimes I feel like recording everything would ruin it to be honest",0,True but I just never think to pick up a camera I enjoy living in the moment sometimes I feel like recording everything would ruin it to be honest
Love your content bro🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦,0,Love your content bro
I said it with all the meme coins in March. The most interesting thing about these meme coins is they are an early case study of how decentralized communities work.,0,I said it with all the meme coins in March The most interesting thing about these meme coins is they are an early case study of how decentralized communities work
"But corruption, bribery, extortion, imperialism and greed is the American Way",0,But corruption bribery extortion imperialism and greed is the American Way
He straight up said tiktokers have an attention span of 10 seconds..😂,0,He straight up said tik to kers have an attention span of 10 seconds
Home Depot and Lowes keep the prices high until they get rid of their inventory to protect their profits.  Then they are slow to lower prices but quick to raise them if futures prices rise!!  🙏,0,Home Depot and Lowe s keep the prices high until they get rid of their inventory to protect their profits Then they are slow to lower prices but quick to raise them if futures prices rise
Hey Graham Stephan!,0,Hey Graham Stephan
The sec doesn’t do shit I wouldn’t worry 😂😂😂🦍🦍🦍,0,The sec doesnt do shit I wouldnt worry
We could just give up the petro dollar and have world peace.?. Nah just kidding 🤑🚀🌌,0,We could just give up the petro dollar and have world peace Nah just kidding
Assets are a great way to protect your money from inflation. Great video!,0,Assets are a great way to protect your money from inflation Great video
She is concerned about not having CONTROL not the people!!!!!!!!!,0,She is concerned about not having CONTROL not the people
Dorsey is an enemy of Freedom. Why the flyin F would anyone still trust him?,0,Dorsey is an enemy of Freedom Why the fly in F would anyone still trust him
@Graham Stephan scammer,0,Graham Stephan scam mer
"Insightful stuff, great video",0,Insightful stuff great video
9:25 False. The world runs on Dunkin,0,925 False The world runs on Dunkin
WELL DONE!,0,WELL DONE
I like this. I'm just getting into investing but I'm gonna throw some money in vanguard VDC,0,I like this Im just getting into investing but Im gonna throw some money in vanguard V DC
100th,0,100 th
"Buying gold, diamonds, and hodling profitable coins are sure ways to profit from inflation. Who knows how else...",0,Buying gold diamonds and ho dling profitable coins are sure ways to profit from inflation Who knows how else
"Nice Content You have here on this Channel, I've been following your videos, but I still don't have a knowledge on how to trade on Cryptocurrency",0,Nice Content You have here on this Channel Ive been following your videos but I still dont have a knowledge on how to trade on Crypto currency
Oil=dollar... So they want to cancel cryptocurrency but... Biden cancelled American oil for Iraq and Saudi oil 😳,0,Oil dollar So they want to cancel crypto currency but Biden cancelled American oil for Iraq and Saudi oil
The lumber prices right now are killing me and my renovation dreams!,0,The lumber prices right now are killing me and my renovation dreams
"Nate's Beard, R.I.P.",0,Nate s Beard RIP
Love your vids but wish you wouldn't keep waving your arms around while talking 😄,0,Love your vid s but wish you wouldnt keep waving your arms around while talking
Thanks! Feel free to write my analyst to guide you through in crypto for good ROI and get crypto strategies,0,Thanks Feel free to write my analyst to guide you through in crypto for good ROI and get crypto strategies
She drives a white Cherokee,0,She drives a white Cherokee
"If true, that is the most shocking thing I've hear in years (and we spent the last year locked down in our houses)",0,If true that is the most shocking thing Ive hear in years and we spent the last year locked down in our houses
Zero to millionaire?,0,Zero to millionaire
"Thanks for sharing - great insights on inflation! :) Since you asked for a video suggestion: would be really cool if you shared a snapshot of your insights into real estate investing. Something like a primer for people who have no prior experience with real estate investing: what to watch out for when looking at properties, how to calculate cashflow, etc. 🙂 Also, would be cool to hear what have been your learnings so far while living in a truck!",0,Thanks for sharing great insights on inflation Since you asked for a video suggestion would be really cool if you shared a snapshot of your insights into real estate investing Something like a primer for people who have no prior experience with real estate investing what to watch out for when looking at properties how to calculate cash flow etc Also would be cool to hear what have been your learning s so far while living in a truck
Wow BOOMBASTIC,0,Wow BOOM BA STIC
"please do forex related craziness again.
people love it.",0,please do for ex related craziness again people love it
haha nice one binary youtuber!,0,hah a nice one binary youtuber
What is puts,0,What is puts
Give some information about Solar wind token 🪙 pls sir,0,Give some information about Solar wind token pl s sir
i am _not_ uncertain.,0,i am not uncertain
Try trading futures bro.,0,Try trading futures bro
But Graham... Why are you feeding FEDs and telling us inflation is transitory and gold is worth nothing :( I'm sad now,0,But Graham Why are you feeding FEDs and telling us inflation is transitory and gold is worth nothing Im sad now
"Guys! all these is scam and retarded, I tried This and lost much money. The only way i have made real good money online 
is through affiliate marketing. I put a video on my channel about it , go and watch it and you will thank me later.",0,Guys all these is scam and retarded I tried This and lost much money The only way i have made real good money online is through affiliate marketing I put a video on my channel about it go and watch it and you will thank me later
F EW,0,F EW
"""The most terrifying words in the English language are: I'm from the government and I'm here to help."" (RR, 1986)",0,The most terrifying words in the English language are Im from the government and Im here to help RR 1986
How is it that every time I see a Nate thumbnail I immediately assume he is about to do something very evil….,0,How is it that every time I see a Nate thumbnail I immediately assume he is about to do something very evil
Paradise Express you’re right my bad! Did not realize the volume and open interest lmfaoo I thought it was due to IV. You’re right! Low liquidity,0,Paradise Express you re right my bad Did not realize the volume and open interest lmfao o I thought it was due to IV You re right Low liquidity
"@Michael Chad You're right my friend. A friend of mine introduced me to an Angell, that doubled my 80k in nine months. I'm certainly buying that Tesla this fall.",0,Michael Chad You re right my friend A friend of mine introduced me to an Angell that doubled my 80 k in nine months Im certainly buying that Tesla this fall
Damn biaheza is rly the feds now😂😭,0,Damn bia he za is rly the feds now
Video starts at 11:20.,0,Video starts at 1120
richard wyckoff...thank me later,0,richard wyckoff thank me later
Market is so munipulated it's unreal,0,Market is so muni pula ted its unreal
it dropped to $5 why didnt you buy it then lol,0,it dropped to 5 why didnt you buy it then lol
Biaheza the GOAT!,0,Bia he za the GOAT
you bought the ask on illiquid options,0,you bought the ask on il liquid options
This video is awesome!! Very easy to understand!!😎,0,This video is awesome Very easy to understand
"When<people get the signal and the confirmation of the bear market ""whenever it is"" as they say , their portfolio will already be 70% at the best minus! Investors and traders should try to be ahead of the market or at least react fast. Because all the indicators ""rsi-macd-Ema-..."" Are lagging indicators! So why would someone hold all the way from 65k to 32k , when he could double his position by selling and buying back. And wait for confirmations in any direction ... Slogans like HODL and Diamond hands are just for inexperienced Investors that think there is no other direction other than the moon. I'll advise current investors and newbies to take advantage of the William Donald program, an establishment that handles people who lack understanding on how to maneuver the crypto space through the rise and dip, to help them recover loss from the crash and also accumulate more positive returns, with h;is  program I went from having 2btc to 9btc in just 4 weeks. Lucas can be reached on 🆃🅴🅻🅴🅶🆁A🅼 (@ Wdonald1) to solve crypto-related issues.",0,When people get the signal and the confirmation of the bear market whenever it is as they say their portfolio will already be 70 at the best minus Investors and traders should try to be ahead of the market or at least react fast Because all the indicators rsi mac dEm a Are lagging indicators So why would someone hold all the way from 65 k to 32 k when he could double his position by selling and buying back And wait for confirmations in any direction Slogans like HOD L and Diamond hands are just for inexperienced Investors that think there is no other direction other than the moon Ill advise current investors and newbies to take advantage of the William Donald program an establishment that handles people who lack understanding on how to maneuver the crypto space through the rise and dip to help them recover loss from the crash and also accumulate more positive returns with his program I went from having 2 btc to 9 btc in just 4 weeks Lucas can be reached on A W donald 1 to solve crypto related issues
"I have been rich, and I have been broke. Some of it is my fault for choosing bad management and making bad investments. But that is life we all take risks.",0,I have been rich and I have been broke Some of it is my fault for choosing bad management and making bad investments But that is life we all take risks
So has Jack!!!,0,So has Jack
"Beware of scammers in the comment section impersonating me! I will never solicit you for money or ask you to join some sketchy crypto scheme. I will NEVER randomly give you my phone number, scammers are everywhere :)",0,Beware of scam mers in the comment section impersonating me I will never solicit you for money or ask you to join some sketchy crypto scheme I will NEVER randomly give you my phone number scam mers are everywhere
"Good take on things Graham, as always 👌",0,Good take on things Graham as always
She sees the working class people empowering themselves. That's why this is happening.,0,She sees the working class people empowering themselves That s why this is happening
The need to buy dollars to buy oil is what truly gives the US dollar its power.,0,The need to buy dollars to buy oil is what truly gives the US dollar its power
Start 4:07,0,Start 407
@David Patton a politician? Lol,0,David Patton a politician Lol
You’re really shoehorning these ads huh? 💰,0,You re really shoehorning these ads huh
Thank god you blocked the south eastern conference 🙅🏼‍♂️,0,Thank god you blocked the south eastern conference
Oh they see the future.. and that future takes away power from them. They will do anything to control it,0,Oh they see the future and that future takes away power from them They will do anything to control it
@Biaheza will do,0,Bia he za will do
"Then don’t invest in it, but don’t tell us what to do with our money",0,Then dont invest in it but dont tell us what to do with our money
I sell building materials for a living mostly exterior and I can tell you cost on wood went down 10% our cost while metal has gone up 25% in the last month our cost. Roofing shingles have gone up 10%.,0,I sell building materials for a living mostly exterior and I can tell you cost on wood went down 10 our cost while metal has gone up 25 in the last month our cost Roofing shingles have gone up 10
ex-techlead is fukn awesome - why did Facebook unleash this beast into the wild .........🤣🤣🤣🤣,0,ex tech lead is fu kn awesome why did Facebook unleash this beast into the wild
Martin shkerili 101,0,Martin sh keri li 101
I bet pocahontas has a isht ton of Worthers Originals in her purse,0,I bet pocahontas has a is ht ton of Worth ers Originals in her purse
Oil is why you guys go to WAR ?,0,Oil is why you guys go to WAR
Love your vids,0,Love your vid s
"Let's go, he remembered his password!",0,Lets go he remembered his password
Story telling for views.,0,Story telling for views
Warren couldn't find her butt with both hands.,0,Warren couldnt find her butt with both hands
How is this guy not in jail?,0,How is this guy not in jail
stocks to watch in 2021?,0,stocks to watch in 2021
She is a Indian outlaw half Choctaw and Chippewa.,0,She is a Indian outlaw half Choctaw and Chippewa
"idk if I never noticed, but the setup is awesome! Really interesting premise, I'd love to see something similar with whale orders (not just CEOs/CFOs/etc, but just large orders)!",0,i dk if I never noticed but the setup is awesome Really interesting premise Id love to see something similar with whale orders not just CEOs CF Os etc but just large orders
